Date,Open,High,Low,Close,Adj Close,Volume
2017-09-12,502.287994,507.213013,473.726990,477.665985,470.060577,9526416
2017-09-13,480.621002,486.529999,432.362000,439.748993,432.747284,10923594
2017-09-14,443.196014,466.339996,431.377014,455.998993,448.738556,11074530
2017-09-15,455.998993,461.907990,438.764008,450.582001,443.407806,7893757
2017-09-18,426.453003,465.847992,423.497986,465.355011,457.945587,9845894
2017-09-19,457.968994,464.863007,419.066010,419.066010,412.393616,11795335
2017-09-20,403.799988,419.066010,381.640991,384.102997,377.987305,14540650
2017-09-21,398.876007,422.513000,392.967010,422.513000,415.785736,12328962
2017-09-22,430.391998,433.346985,395.920990,397.890991,391.555756,15620381
2017-09-25,397.890991,416.604004,381.148010,408.725006,402.217285,15986481
2017-09-26,406.755005,413.157013,378.686005,379.178009,373.140717,11272155
2017-09-27,393.951996,409.709991,387.057007,387.549988,381.379395,15402770
2017-09-28,396.414001,402.322998,390.011993,395.920990,389.617126,9097780
2017-09-29,389.027008,390.997009,378.686005,385.088013,378.956635,10748902
2017-10-02,389.027008,397.890991,382.132996,396.414001,390.102264,8129249
2017-10-03,399.860992,420.542999,396.414001,407.739990,401.247955,13444219
2017-10-05,406.755005,415.127014,403.799988,403.799988,397.370667,7067107
2017-10-06,409.217010,414.141998,398.876007,407.739990,401.247955,6426937
2017-10-11,417.588989,420.050995,399.368011,399.368011,393.009247,7210447
2017-10-12,400.846008,411.678986,400.846008,411.187012,404.640076,6034450
2017-10-13,410.201996,410.201996,401.338013,403.799988,397.370667,3927986
2017-10-16,407.739990,410.695007,402.816010,403.308014,396.886505,4280874
2017-10-17,407.739990,409.709991,363.420013,363.420013,357.633606,9176686
2017-10-18,369.329987,381.148010,343.722992,381.148010,375.079346,21628225
2017-10-19,377.209015,387.057007,371.299011,374.253998,368.295105,10408549
2017-10-20,369.329987,372.283997,351.109009,366.375000,360.541565,8772537
2017-10-23,371.791992,372.283997,350.617004,350.617004,345.034454,8172738
2017-10-24,348.647003,363.420013,342.738007,357.510986,351.818665,11589518
2017-10-25,357.510986,360.958008,338.306000,338.306000,332.919464,9990269
2017-10-26,336.335999,346.184998,330.919006,340.768005,335.342285,11706554
2017-10-27,344.708008,345.692993,306.790009,306.790009,301.905273,13733598
2017-10-30,323.040009,324.024994,304.328003,304.328003,299.482483,10171767
2017-10-31,313.191986,334.365997,306.790009,334.365997,329.042206,14063290
2017-11-01,334.365997,338.306000,320.085999,321.562988,316.443024,14667682
2017-11-02,319.101013,330.427002,310.237000,319.101013,314.020264,10862754
2017-11-03,323.040009,333.873993,319.592987,327.964996,322.743134,11783710
2017-11-06,333.873993,333.873993,321.071014,321.562988,316.443024,6084313
2017-11-07,323.040009,326.487000,313.191986,313.191986,308.205322,4836127
2017-11-08,313.191986,333.873993,313.191986,331.411987,326.135223,13020942
2017-11-09,328.457001,328.457001,309.252014,315.653992,310.628113,8701963
2017-11-10,317.623993,323.040009,306.790009,321.562988,316.443024,7897713
2017-11-13,320.085999,320.085999,305.804993,309.744995,304.813202,5505806
2017-11-14,312.699005,313.683990,298.911011,312.207001,307.236023,9448038
2017-11-15,308.266998,315.653992,303.342987,314.175995,309.173676,10239829
2017-11-16,311.713989,314.669006,308.266998,308.266998,303.358765,4149337
2017-11-17,313.191986,327.964996,312.207001,319.592987,314.504425,9979716
2017-11-20,322.054993,324.024994,314.175995,314.669006,309.658813,4374237
2017-11-21,319.101013,330.919006,316.145996,321.071014,315.958893,7686948
2017-11-22,325.502991,353.079010,324.024994,353.079010,347.457245,16854358
2017-11-23,360.466003,369.821991,353.079010,353.079010,347.457245,16039209
2017-11-24,349.631989,353.571991,341.752991,346.184998,340.673004,6435788
2017-11-27,360.466003,370.315002,347.170013,347.170013,341.642334,10512327
2017-11-28,347.661987,354.063995,340.768005,348.154999,342.611633,6308684
2017-11-29,355.540985,358.496002,344.708008,345.200012,339.703705,5679255
2017-11-30,334.859009,340.768005,315.161011,336.829010,331.466003,9443167
2017-12-01,339.782990,368.345001,321.071014,353.571991,347.942413,16644057
2017-12-04,354.063995,367.359985,345.692993,359.480988,353.757324,12456183
2017-12-05,355.540985,366.375000,354.556000,360.466003,354.726654,9712937
2017-12-06,357.510986,358.003998,327.471985,327.471985,322.257965,14194978
2017-12-07,338.798004,345.692993,329.934998,337.813995,332.435303,10787044
2017-12-08,334.365997,334.365997,315.161011,322.054993,316.927216,13193207
2017-12-11,323.040009,330.919006,320.085999,321.562988,316.443024,6570574
2017-12-12,323.040009,329.934998,317.131012,325.010010,319.835175,6529487
2017-12-13,326.980011,329.441986,321.071014,322.054993,316.927216,4557240
2017-12-14,326.980011,332.889008,321.071014,321.562988,316.443024,6954801
2017-12-15,320.085999,322.548004,310.237000,312.699005,307.720215,6787127
2017-12-18,314.669006,315.653992,288.076996,294.479004,289.790283,12773847
2017-12-19,296.449005,299.403015,285.122986,298.417999,293.666565,10879868
2017-12-20,298.417999,300.388000,293.493988,293.493988,288.820953,4423994
2017-12-21,293.002014,296.941010,289.062012,295.463989,290.759583,4482812
2017-12-22,299.403015,302.358002,294.479004,294.479004,289.790283,4800017
